"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Convocatoria a Junta General de Accionistas AVINKA S.A.","De conformidad con el artículo 115° del Estatuto y 116° de la Ley General de Sociedades, se convoca a junta general ordinaria de accionistas de AVINKA S.A., a realizarse en primera convocatoria el día miércoles 02 de octubre del 2015 a horas 11:30 am en el local de la sociedad ubicado en Jr. Ayabaca 122 – 114 Distrito de San Juan de Miraflores, Provincia y Departamento de Lima, con el objetivo de tratar los siguientes temas de agenda: 1.- Aprobación de la memoria anual, correspondiente al ejercicio cerrado el 31 de diciembre del 2014. 2.- Presentación y aprobación del balance general y estado de ganancias y pérdidas correspondientes al ejercicio cerrado el 31 de diciembre del 2014. 3.- Aplicación de las utilidades correspondientes al ejercicio 2012. 4.- Aplicación de las utilidades correspondientes al ejercicio 2013. 5.- Aplicación de las utilidades correspondientes al ejercicio 2014. 6.- Aumento de capital. 7.- Modificación parcial del estatuto social. 8.- Elección de los miembros del directorio de la sociedad para el período 2015-2018. 9.- Determinación de la remuneración de los miembros del directorio. 10.- Designación de los auditors externos para el ejercicio 2015. 11.- Situación de la sociedad. En caso de no reunirse el quorum de ley, se cita en segunda convocatoria, en el mismo lugar y con la misma agenda para el día lunes 26 de octubre del 2015 a horas 11:30 am.","correo",2015-10-02,"Convocatoria a Junta General de Accionistas AVINKA S.A.. De conformidad con el artículo 115° del Estatuto y 116° de la Ley General de Sociedades, se convoca a junta general ordinaria de accionistas de AVINKA S.A., a realizarse en primera convocatoria el día miércoles 02 de octubre del 2015 a horas 11:30 am en el local de la sociedad ubicado en Jr. Ayabaca 122 – 114 Distrito de San Juan de Miraflores, Provincia y Departamento de Lima, con el objetivo de tratar los siguientes temas de agenda: 1.- Aprobación de la memoria anual, correspondiente al ejercicio cerrado el 31 de diciembre del 2014. 2.- Presentación y aprobación del balance general y estado de ganancias y pérdidas correspondientes al ejercicio cerrado el 31 de diciembre del 2014. 3.- Aplicación de las utilidades correspondientes al ejercicio 2012. 4.- Aplicación de las utilidades correspondientes al ejercicio 2013. 5.- Aplicación de las utilidades correspondientes al ejercicio 2014. 6.- Aumento de capital. 7.- Modificación parcial del estatuto social. 8.- Elección de los miembros del directorio de la sociedad para el período 2015-2018. 9.- Determinación de la remuneración de los miembros del directorio. 10.- Designación de los auditors externos para el ejercicio 2015. 11.- Situación de la sociedad. En caso de no reunirse el quorum de ley, se cita en segunda convocatoria, en el mismo lugar y con la misma agenda para el día lunes 26 de octubre del 2015 a horas 11:30 am.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",1,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0576,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.2462
"Patrimoniología cultural celebra reconocimiento global","Arequipa será sede de prestigioso evento internacional dedicado a patrimonios culturales mundiales, congregando representantes de 269 ciudades globales. Durante cuatro jornadas, compartirán experiencias innovadoras en conservación histórico-cultural, fortaleciendo vínculos colaborativos y aprendizajes compartidos.","correo",2015-11-01,"Patrimoniología cultural celebra reconocimiento global. Arequipa será sede de prestigioso evento internacional dedicado a patrimonios culturales mundiales, congregando representantes de 269 ciudades globales. Durante cuatro jornadas, compartirán experiencias innovadoras en conservación histórico-cultural, fortaleciendo vínculos colaborativos y aprendizajes compartidos.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1977,"-1","Unknown",0.0654,"143","virgen candelaria puno, fiesta virgen candelaria, candelaria puno, virgen candelaria, fiesta virgen",0.0893
"Renuncio a distincin","Universidad Complutense de Madrid y la Universidad de Lima, respecto a los presuntos plagios cometidos por Carlos Acuña. Siempre es un tema de evaluación de acuerdo a cómo los acontecimientos tan dolorosos se están sedimentando (...) Estoy analizando sin apremio ni apuro. Pero, obviamente (la noticia de plagio) es una pauta que debo analizar para ver cual será mi línea futura (...)","correo",2016-02-10,"Renuncio a distincin. Universidad Complutense de Madrid y la Universidad de Lima, respecto a los presuntos plagios cometidos por Carlos Acuña. Siempre es un tema de evaluación de acuerdo a cómo los acontecimientos tan dolorosos se están sedimentando (...) Estoy analizando sin apremio ni apuro. Pero, obviamente (la noticia de plagio) es una pauta que debo analizar para ver cual será mi línea futura (...)","-1","Unknown",0.0013,"-1","Unknown",0.0109,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0205
"PARTIDO DE CARLOS ACUA SE LAVA LAS MANOS","APP niega autoria de spot de Martin Luther King y contradice a Townsend... Luego de que llovieran las críticas por la difusión de un spot en el que se compara implícitamente al candidato presidencial Carlos Acuña con el fallecido Premio Nobel de la paz Martín Luther King, el partido Alianza para el Progreso (APP) negó haber financiado dicho producto audiovisual.","correo",2016-02-10,"PARTIDO DE CARLOS ACUA SE LAVA LAS MANOS. APP niega autoria de spot de Martin Luther King y contradice a Townsend... Luego de que llovieran las críticas por la difusión de un spot en el que se compara implícitamente al candidato presidencial Carlos Acuña con el fallecido Premio Nobel de la paz Martín Luther King, el partido Alianza para el Progreso (APP) negó haber financiado dicho producto audiovisual.","-1","Unknown",0.0135,"-1","Unknown",0.0079,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0095
"Toledo renuncia a Honoris Causa otorgado por la universidad del candidato de APP acusado de plagio","Además de líder de Per Posible, casa de estudios entregó distinción a diversas personalidades como Mario Vargas Llosa, Marcial Rubio, Francisco Túvará y Beatriz Merino.  Que incluso el Nobel de Literatura, el escritor Mario Vargas Llosa, recibió esta condecoración de manos del mismo Carlos Acuña el 2009.","correo",2016-02-10,"Toledo renuncia a Honoris Causa otorgado por la universidad del candidato de APP acusado de plagio. Además de líder de Per Posible, casa de estudios entregó distinción a diversas personalidades como Mario Vargas Llosa, Marcial Rubio, Francisco Túvará y Beatriz Merino.  Que incluso el Nobel de Literatura, el escritor Mario Vargas Llosa, recibió esta condecoración de manos del mismo Carlos Acuña el 2009.","26","extradicion expresidente alejandro, expresidente alejandro toledo, presidente alejandro toledo, abogado toledo, expresidente alejandro",0.0384,"-1","Unknown",0.01,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0243
"MINEDU: DECISIÓN PREOCUPANTE","Durante varios años se notó que algunos niños abandonaban la escolarización prematuramente, algo contrario a lo recomendado según su desarrollo evolutivo. Anteriormente, directores permitían inscribir a estudiantes fuera de su grado correcto. Desde 2011, el Ministerio de Educación intentó corregir esto mediante regulaciones específicas acerca de las edades mínimas requeridas para ingresar a niveles particulares. Ahora surge la pregunta: ¿qué está motivando nuevas decisiones contradictorias?","correo",2016-02-10,"MINEDU: DECISIÓN PREOCUPANTE. Durante varios años se notó que algunos niños abandonaban la escolarización prematuramente, algo contrario a lo recomendado según su desarrollo evolutivo. Anteriormente, directores permitían inscribir a estudiantes fuera de su grado correcto. Desde 2011, el Ministerio de Educación intentó corregir esto mediante regulaciones específicas acerca de las edades mínimas requeridas para ingresar a niveles particulares. Ahora surge la pregunta: ¿qué está motivando nuevas decisiones contradictorias?","-1","Unknown",0.03,"67","instituciones educativas, persisten carencias, sistema escolar, centros educacionales, inclusion educativa",0.2284,"15","ministerio educacion, sistema educativo, educacion basica, educacion publica, calidad educativa",0.047
"Denuncias de Plagio Contra Candidato","Indignación surge luego de hallar similitudes significativas entre la tesis doctoral de Csar Acuña obtenida en Colombia y obras previas escritas por académicos reconocidos. Las sospechas crecen mientras figuras públicas demandan claridad y acciones judiciales pertinentes frente a estas graves imputaciones.","correo",2016-02-09,"Denuncias de Plagio Contra Candidato. Indignación surge luego de hallar similitudes significativas entre la tesis doctoral de Csar Acuña obtenida en Colombia y obras previas escritas por académicos reconocidos. Las sospechas crecen mientras figuras públicas demandan claridad y acciones judiciales pertinentes frente a estas graves imputaciones.","-1","Unknown",0.0236,"-1","Unknown",0.015,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",1
"Evalúación. Caso Plagio de Acuña","Csar Palomino, candidato al Congreso de Restauración Nacional en la lista de APP, informó que el partido que lidera Humboldt Loyón evaluará hoy el impacto de las últimas noticias contra Csar Acuña.  El equipo del partido Alianza Para el Progreso (APP) decidió pasar a la ofensiva, agobiado por la serie de denuncias a su candidato presidencial. Tras la oleada de acusaciones de plagio contra su líder y candidato presidencial, Csar Acuña, Tomás López Varadero, autor del libro Educación Comparada, conceptos, experiencias y propuestas por difamación.","correo",2016-02-09,"Evalúación. Caso Plagio de Acuña. Csar Palomino, candidato al Congreso de Restauración Nacional en la lista de APP, informó que el partido que lidera Humboldt Loyón evaluará hoy el impacto de las últimas noticias contra Csar Acuña.  El equipo del partido Alianza Para el Progreso (APP) decidió pasar a la ofensiva, agobiado por la serie de denuncias a su candidato presidencial. Tras la oleada de acusaciones de plagio contra su líder y candidato presidencial, Csar Acuña, Tomás López Varadero, autor del libro Educación Comparada, conceptos, experiencias y propuestas por difamación.","-1","Unknown",0.0041,"-1","Unknown",0.0057,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.111
"Si Acuña Fuera PRESIDENTE","Observando el peculiar modo de protección empleado por los allegados del aspirante presidencial Carlos Acuña frente a las claras evidencias de plagio y usurpación literaria, podríamos hacernos una idea aproximada de qué nos espera en el país si ganase las próximas elecciones el Partido Acción Popular (APP); dado que a tales individuos ni balas detienen, dispuestos están a justificar lo injustificable tratando de convencer a los peruanos de lo contrario. Imaginen a los partidarios de Acuña gobernando nuestro país: Negarán hechos indubitables simplemente por provocar carcajadas y enfurecer a nuestros conciudadanos, tal como actualmente acontece. Remítanse a episodios históricos similares protagonizados por figuras como Ana Elizabeth Townshend y Vladmir Paz de la Barraca, quien incluso prometió llevar a juicio civil al genuino creador del texto que su líder desea compartir créditos sin haber contribuido palabra alguna. Subrayando afirmaciones populares como ‘Nosotros estamos trabajando para ayudar a los pobres’ o ‘Lo único que importa a los peruanos es su propio interés’, Acuña y su séquito harían gala de ignorancia flagrante ante casos palpables de corrupción o infracciones penales detectadas dentro de su eventual mandato, recurriendo siempre al absurdo argumento de que ‘los grupos dominantes nunca aceptarán que un humilde ascendiera a Presidente’. Sin embargo, nuestra reflexión no debe limitarse únicamente a conductas corruptas. Consideremos qué sucedería si el régimen de APP implementara decisiones erráticas necesitadas de corrección posterior. Basándonos en observaciones recientes, resulta improbable pensar que dicho gobierno pueda mostrar receptibilidad a criticas constructivas o recomendaciones externas. Todo error cometido sería excusable bajo el amparo divino otorgado a su figura central, relegando comentarios adversos a meras trivialidades. ¡Que triunfen!","correo",2016-02-09,"Si Acuña Fuera PRESIDENTE. Observando el peculiar modo de protección empleado por los allegados del aspirante presidencial Carlos Acuña frente a las claras evidencias de plagio y usurpación literaria, podríamos hacernos una idea aproximada de qué nos espera en el país si ganase las próximas elecciones el Partido Acción Popular (APP); dado que a tales individuos ni balas detienen, dispuestos están a justificar lo injustificable tratando de convencer a los peruanos de lo contrario. Imaginen a los partidarios de Acuña gobernando nuestro país: Negarán hechos indubitables simplemente por provocar carcajadas y enfurecer a nuestros conciudadanos, tal como actualmente acontece. Remítanse a episodios históricos similares protagonizados por figuras como Ana Elizabeth Townshend y Vladmir Paz de la Barraca, quien incluso prometió llevar a juicio civil al genuino creador del texto que su líder desea compartir créditos sin haber contribuido palabra alguna. Subrayando afirmaciones populares como ‘Nosotros estamos trabajando para ayudar a los pobres’ o ‘Lo único que importa a los peruanos es su propio interés’, Acuña y su séquito harían gala de ignorancia flagrante ante casos palpables de corrupción o infracciones penales detectadas dentro de su eventual mandato, recurriendo siempre al absurdo argumento de que ‘los grupos dominantes nunca aceptarán que un humilde ascendiera a Presidente’. Sin embargo, nuestra reflexión no debe limitarse únicamente a conductas corruptas. Consideremos qué sucedería si el régimen de APP implementara decisiones erráticas necesitadas de corrección posterior. Basándonos en observaciones recientes, resulta improbable pensar que dicho gobierno pueda mostrar receptibilidad a criticas constructivas o recomendaciones externas. Todo error cometido sería excusable bajo el amparo divino otorgado a su figura central, relegando comentarios adversos a meras trivialidades. ¡Que triunfen!","-1","Unknown",0.0168,"-1","Unknown",0.0122,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0062
"<augusto_rey>","[Queda claramente demostrado que Carlos Acuña no está diciendo la verdad, buscando engañarnos y, aún más grave, en sus intentos de autodefensa, parece engañarse a sí mismo. Documentación tras documentación lo traicionan, comenzando quizás con su tesis doctoral, posiblemente también con su tesis de magíster y definitivamente con un libro completo. Esta estrategia de engaños involucra también a aquellos que continúan defendiéndole o guardándose silencio cómplice. Nos encontramos ante un papel de magnitudes internacionales jamás vistas anteriormente. Más claro, imposible. Pero cuando pensábamos que la situación no podría empeorar, recientemente surgieron comportamientos desconocidos del candidato nororiental y su grupo acompañante. En lugar de responder con argumentos sólidos a las severas acusaciones que comprometen seriamente su candidatura y buscar revertirla, él junto a sus portavoces lanzan amenazas hacia periodistas y académicos: Acuña menciona iniciar procesos legales contra quienes están detrás de dichas acusaciones para perjudicarlo, Viadrón Paz de la Barraca señala que demandará al Profesor Oniel Álvarez, a quién asegura le robaron completamente un libro, y además, como si fuera algo personal, el hijo de éste último amenaza públicamente mediante redes sociales con confrontar físicamente al periodista Agustín Thomdike. Además, el docente víctima de plagio ha revelado recibir amenazas directas hacia él y su familia. No cabe ninguna duda: existe una diferencia significativa entre defenderse políticamente, administrativamente y legalmente – derechos inherentes a cualquier candidato– y actuar como una mafia liberando bravatas indiscriminadamente. ¿Cómo será entonces su gestión gubernamental si así es cómo lidera su campaña política? Mejor evitemos conocerlo.","correo",2016-02-09,"<augusto_rey>. [Queda claramente demostrado que Carlos Acuña no está diciendo la verdad, buscando engañarnos y, aún más grave, en sus intentos de autodefensa, parece engañarse a sí mismo. Documentación tras documentación lo traicionan, comenzando quizás con su tesis doctoral, posiblemente también con su tesis de magíster y definitivamente con un libro completo. Esta estrategia de engaños involucra también a aquellos que continúan defendiéndole o guardándose silencio cómplice. Nos encontramos ante un papel de magnitudes internacionales jamás vistas anteriormente. Más claro, imposible. Pero cuando pensábamos que la situación no podría empeorar, recientemente surgieron comportamientos desconocidos del candidato nororiental y su grupo acompañante. En lugar de responder con argumentos sólidos a las severas acusaciones que comprometen seriamente su candidatura y buscar revertirla, él junto a sus portavoces lanzan amenazas hacia periodistas y académicos: Acuña menciona iniciar procesos legales contra quienes están detrás de dichas acusaciones para perjudicarlo, Viadrón Paz de la Barraca señala que demandará al Profesor Oniel Álvarez, a quién asegura le robaron completamente un libro, y además, como si fuera algo personal, el hijo de éste último amenaza públicamente mediante redes sociales con confrontar físicamente al periodista Agustín Thomdike. Además, el docente víctima de plagio ha revelado recibir amenazas directas hacia él y su familia. No cabe ninguna duda: existe una diferencia significativa entre defenderse políticamente, administrativamente y legalmente – derechos inherentes a cualquier candidato– y actuar como una mafia liberando bravatas indiscriminadamente. ¿Cómo será entonces su gestión gubernamental si así es cómo lidera su campaña política? Mejor evitemos conocerlo.","-1","Unknown",0.0186,"-1","Unknown",0.0166,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0898
"LA COMPAÑÍA ADMITE PLAGIO POR PARTE DE CSAR ACUA","Se critica duramente al candidato político Caár Acúa por haber utilizado material ajeno en sus escritos académicos, generando controversia nacional e internacionales. Las defensas presentadas parecen insuficientes frente a las múltiples instancias de copia detectadas.","correo",2016-02-09,"LA COMPAÑÍA ADMITE PLAGIO POR PARTE DE CSAR ACUA. Se critica duramente al candidato político Caár Acúa por haber utilizado material ajeno en sus escritos académicos, generando controversia nacional e internacionales. Las defensas presentadas parecen insuficientes frente a las múltiples instancias de copia detectadas.","-1","Unknown",0.0144,"-1","Unknown",0.0231,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.152
"Nuevo estudio destaca impacto ambiental urbano","Investigadores locales publicaron resultados preliminares indicando que más del 60% de la contaminación atmosférica proviene de actividades urbanas intensivas. Esto incluye transporte público deficiente y falta de regulación industrial adecuada.","correo",2015-08-31,"Nuevo estudio destaca impacto ambiental urbano. Investigadores locales publicaron resultados preliminares indicando que más del 60% de la contaminación atmosférica proviene de actividades urbanas intensivas. Esto incluye transporte público deficiente y falta de regulación industrial adecuada.","-1","Unknown",0.109,"-1","Unknown",0.0521,"138","residuos solidos urbanos, acumulacion residuos solidos, problemas ambientales, contaminacion urbana, residuos solidos",1
