"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"PECHE INDUSTRIAL Regulan capturas de anchoveta","Para la temporada primordial de pesquería, limitada hasta mediados de año, está definida una extracción máxima de 2.58 millones de toneladas de anchoveta conforme dictaminaciones ministeriales. Dependiendo de condiciones ambientales específicas, ajustes temporales aplicarán. Embarcaciones industriales iniciarán faenas desde la milla número cinco, siguiendo regulaciones rigurosas para conservación sostenible.","correo",2015-04-09,"PECHE INDUSTRIAL Regulan capturas de anchoveta. Para la temporada primordial de pesquería, limitada hasta mediados de año, está definida una extracción máxima de 2.58 millones de toneladas de anchoveta conforme dictaminaciones ministeriales. Dependiendo de condiciones ambientales específicas, ajustes temporales aplicarán. Embarcaciones industriales iniciarán faenas desde la milla número cinco, siguiendo regulaciones rigurosas para conservación sostenible.","82","pesca anchoveta, pesca acuicultura, pesca ilegal, primera temporada pesca, temporada pesca",0.2119,"44","pesca ilegal, nacional pesqueria snp, pesqueria snp, nacional pesqueria, nacional pesquerias",1,"81","temporada pesca anchoveta, captura anchoveta, pesca anchoveta, anchoveta, produccion pesquera",1
"Inmobiliaria Puerto Nuevo S.A.C. fusiona con Aguas Fontaneil S.A.","Mediante decisiones adoptadas en juntas generales de accionistas celebradas el 23 de diciembre de 2015, se determinó la fusión de Inmobiliaria Puerto Nuevo S.A.C. y Aguas Fontaneil S.A., siendo la primera la compañía absorbente. Esta acción entrará oficialmente en vigor el 31 de diciembre de 2015, consolidándose así todas las actividades, derechos y obligaciones de Aguas Fontaneil S.A. bajo la gestión de Inmobiliaria Puerto Nuevo S.A.C.","correo",2016-01-11,"Inmobiliaria Puerto Nuevo S.A.C. fusiona con Aguas Fontaneil S.A.. Mediante decisiones adoptadas en juntas generales de accionistas celebradas el 23 de diciembre de 2015, se determinó la fusión de Inmobiliaria Puerto Nuevo S.A.C. y Aguas Fontaneil S.A., siendo la primera la compañía absorbente. Esta acción entrará oficialmente en vigor el 31 de diciembre de 2015, consolidándose así todas las actividades, derechos y obligaciones de Aguas Fontaneil S.A. bajo la gestión de Inmobiliaria Puerto Nuevo S.A.C.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0405,"88","capital social empresa, junta general accionistas, capital social conforme, general accionistas, capital social",0.1298,"189","escision empresarial, sociedad absorbida, ley general sociedades, escision corporativa, sociedad absorbente",0.449
"Club Náutico de Punta Hermosa llama a Asamblea Extraordinaria","Según decisión tomada por el Consejo Directivo del Club Náutico de Punta Hermosa, conforme al artículo adicional decimonoveno inciso octavo del Acta Constitutiva modificada en asamblea del 28 de febrero de 2012, se convoca a una Asamblea General Extraordinaria programada para el próximo domingo 17 de enero de 2016, a partir de las 10:00 horas en la sede social situada en calle 28 de Julio número 84 Playa Selva Distrital de Punta Hermosa.","correo",2016-01-11,"Club Náutico de Punta Hermosa llama a Asamblea Extraordinaria. Según decisión tomada por el Consejo Directivo del Club Náutico de Punta Hermosa, conforme al artículo adicional decimonoveno inciso octavo del Acta Constitutiva modificada en asamblea del 28 de febrero de 2012, se convoca a una Asamblea General Extraordinaria programada para el próximo domingo 17 de enero de 2016, a partir de las 10:00 horas en la sede social situada en calle 28 de Julio número 84 Playa Selva Distrital de Punta Hermosa.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0483,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",1,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.6103
"Descubrimientos arqueológicos fascinan al mundo","Archéologues américains ont découvert une pyramide pharaonique à Louxor avec des fresques bien conservées datant de plus de 3000 ans.","correo",2015-03-11,"Descubrimientos arqueológicos fascinan al mundo. Archéologues américains ont découvert une pyramide pharaonique à Louxor avec des fresques bien conservées datant de plus de 3000 ans.","87","hallazgos arqueologicos, descubrimientos arqueologicos, arqueologicos, arqueologia, arqueologico",1,"73","vestigios arqueologicos, hallazgos arqueologicos, culturales ancestrales, descubrimientos arqueologicos, ancestrales",0.0785,"94","hallazgos arqueologicos, hallaron restos, complejo arqueologico, sitio arqueologico, excavaciones",0.1396
"Rolando Rodrichs reflexiona sobre comportamientos juveniles contemporáneos","Rodrichs analiza cómo ciertas prácticas culturales modernas reflejan posibles falencias en valores tradicionales transmitidos entre generaciones.","correo",2015-04-07,"Rolando Rodrichs reflexiona sobre comportamientos juveniles contemporáneos. Rodrichs analiza cómo ciertas prácticas culturales modernas reflejan posibles falencias en valores tradicionales transmitidos entre generaciones.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1959,"-1","Unknown",0.0387,"-1","Unknown",0.0254
"Bonistas buscan ajuste justo en compensación por expropiación agraria","Más de 340 bonistas reunidos en la Asociación de Bonistas de la Deuda Agraria solicitaron al Tribunal Constitucional reconsiderar el método usado para actualizar valores de bonos agrarios, dado que el resultado actual apenas alcanzaría el 0.5% del valor real.","correo",2015-04-07,"Bonistas buscan ajuste justo en compensación por expropiación agraria. Más de 340 bonistas reunidos en la Asociación de Bonistas de la Deuda Agraria solicitaron al Tribunal Constitucional reconsiderar el método usado para actualizar valores de bonos agrarios, dado que el resultado actual apenas alcanzaría el 0.5% del valor real.","108","ministro agricultura riego, ministerio agricultura riego, agricultura riego minagri, agricultura riego, ministerio agricultura",1,"23","previsional, sistema privado pensiones, pension, privadas fondos pensiones, privado pensiones",0.0172,"-1","Unknown",0.011
"Junta general de accionistas Compañía Minera San Valentín S.A.","Convocado conforme al artículo 211 del Estatuto Social, tendrá lugar el viernes 11 de diciembre a las 10:30 AM en el domicilio de la compañía situado en Jr. Orejuela No. 271, Urbanización Prolongación Benavides, Surco, Lima. Entre otros puntos, se aprobará la transferencia del inmueble localizado en Jr. Victor Andrés Belaunde N° 275, Carmen de la Legua Reynoso, Callao.","correo",2015-12-01,"Junta general de accionistas Compañía Minera San Valentín S.A.. Convocado conforme al artículo 211 del Estatuto Social, tendrá lugar el viernes 11 de diciembre a las 10:30 AM en el domicilio de la compañía situado en Jr. Orejuela No. 271, Urbanización Prolongación Benavides, Surco, Lima. Entre otros puntos, se aprobará la transferencia del inmueble localizado en Jr. Victor Andrés Belaunde N° 275, Carmen de la Legua Reynoso, Callao.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.031,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.006,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.3704
"Junta General de Accionistas Compañía Minera San Valentín S.A.","Convocado según artículo 21° del Estatuto Social, tendrá lugar el viernes 11 de diciembre a las 10:30 AM en el domicilio oficial de la compañía, tratando diversos puntos clave:  1. Autorización para la transferencia de propiedad del inmueble ubicado en Jr. Victor Andrés Belaunde Nº 275, Carmen de la Legua Reynoso, Callao.  2. Evaluación de reclamo interpuesto por el Sr. Jesús Arias Divita y estrategias correspondientes.  3. Análisis de situación concerniente a permisos mineros suspendidos y alternativas viables.  4. Actualización relativa al proceso de fusión corporativa.","correo",2015-11-30,"Junta General de Accionistas Compañía Minera San Valentín S.A.. Convocado según artículo 21° del Estatuto Social, tendrá lugar el viernes 11 de diciembre a las 10:30 AM en el domicilio oficial de la compañía, tratando diversos puntos clave:  1. Autorización para la transferencia de propiedad del inmueble ubicado en Jr. Victor Andrés Belaunde Nº 275, Carmen de la Legua Reynoso, Callao.  2. Evaluación de reclamo interpuesto por el Sr. Jesús Arias Divita y estrategias correspondientes.  3. Análisis de situación concerniente a permisos mineros suspendidos y alternativas viables.  4. Actualización relativa al proceso de fusión corporativa.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.1087,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0143,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.6398
"China modifica política de hijos únicos","Autorización para tener más de un descendiente responde a necesidades demográficas urgentes.","correo",2015-10-30,"China modifica política de hijos únicos. Autorización para tener más de un descendiente responde a necesidades demográficas urgentes.","-1","Unknown",0.0123,"56","interaccion cultural, inspiradora, reflexiones profundas, perspectivas diversas, culturales",0.0117,"-1","Unknown",0.0029
"Integración binacional en marcha","Adultos mayores de ambos países caminan hacia unidad cultural y social.","correo",2015-10-30,"Integración binacional en marcha. Adultos mayores de ambos países caminan hacia unidad cultural y social.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1402,"-1","Unknown",0.0159,"-1","Unknown",0.0054
"Emprendedores advierten incertidumbre en proyectos viales","Representantes de consorcios constructoras expresan preocupación frente a posibles alteraciones contractuales dictaminadas por el MEF, afectando cronogramas de obras importantes en el país. Sin embargo, insisten en continuar conforme a términos originales pactados.","correo",2015-10-30,"Emprendedores advierten incertidumbre en proyectos viales. Representantes de consorcios constructoras expresan preocupación frente a posibles alteraciones contractuales dictaminadas por el MEF, afectando cronogramas de obras importantes en el país. Sin embargo, insisten en continuar conforme a términos originales pactados.","-1","Unknown",0.0156,"172","multas comunidades concesiones, contraloria destapa, reconstruccion contralor, manejar futuros, fortalecimiento infraestructura nacional",1,"-1","Unknown",9e-04
"Convocatoria junta extraordinaria Romanato I","Incremento capital operativos minería convenios legales.","correo",2015-10-29,"Convocatoria junta extraordinaria Romanato I. Incremento capital operativos minería convenios legales.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0541,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0451,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.1999
"Canal Cuatro entrevista a madre en campo santo","Millones honran a progenitores en días festivos. Familiares comparten momentos emotivos en cementerios acompañados de comerciantes locales.","correo",2016-05-09,"Canal Cuatro entrevista a madre en campo santo. Millones honran a progenitores en días festivos. Familiares comparten momentos emotivos en cementerios acompañados de comerciantes locales.","-1","Unknown",0.0347,"56","interaccion cultural, inspiradora, reflexiones profundas, perspectivas diversas, culturales",0.0361,"-1","Unknown",0.0076
"TRANSFORMACIÓN SOCIEDAD ANÓNIMA","Transformación legal de PERU POS LTDA a PERU POS IT SAC notificada formalmente.","correo",2015-08-02,"TRANSFORMACIÓN SOCIEDAD ANÓNIMA. Transformación legal de PERU POS LTDA a PERU POS IT SAC notificada formalmente.","8","presidente, congreso, politica, ministerio, fuerza",0.0043,"88","capital social empresa, junta general accionistas, capital social conforme, general accionistas, capital social",0.109,"189","escision empresarial, sociedad absorbida, ley general sociedades, escision corporativa, sociedad absorbente",1
"CONVOCATORIA EXTRAORDINARIA","Presidente del Consejo Directivo convocó a Asamblea General Extraordinaria de asociados para aprobar/modificar/intentar el Estatuto y demás documentos relevantes. Fecha: 16 de agosto de 2015.","correo",2015-08-02,"CONVOCATORIA EXTRAORDINARIA. Presidente del Consejo Directivo convocó a Asamblea General Extraordinaria de asociados para aprobar/modificar/intentar el Estatuto y demás documentos relevantes. Fecha: 16 de agosto de 2015.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0977,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",1,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",1
"Convocatoria a Asamblea General Extraordinaria","Clube Ecuestre Huachipa invita a socios activos y honrados a participar en la Asamblea General Extraordinaria para deliberar incrementos de tarifas sociales y caballerías.","correo",2015-09-30,"Convocatoria a Asamblea General Extraordinaria. Clube Ecuestre Huachipa invita a socios activos y honrados a participar en la Asamblea General Extraordinaria para deliberar incrementos de tarifas sociales y caballerías.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.2036,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",1,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.7202
"Tierras. De otro lado...","Vinelli dijo que al 2021 el Perú tendrá 350 mil nuevas hectáreas dedicadas a la agricultura moderna y que generarán empleo masivo. Pura Archim El Minagri apuesta por las agroexportaciones Precisó que hasta el año del bicentenario patrio la meta del ministro del sector, Juan Benites, es incorporar 200 mil nuevas hectáreas a la agricultura moderna con la ejecución de los grandes proyectos de irrigación de la costa, como Chavimochic III (La Libertad), Majes-Siguas II (Arequipa), Olmos (Lambayeque), entre otros.","correo",2015-04-02,"Tierras. De otro lado.... Vinelli dijo que al 2021 el Perú tendrá 350 mil nuevas hectáreas dedicadas a la agricultura moderna y que generarán empleo masivo. Pura Archim El Minagri apuesta por las agroexportaciones Precisó que hasta el año del bicentenario patrio la meta del ministro del sector, Juan Benites, es incorporar 200 mil nuevas hectáreas a la agricultura moderna con la ejecución de los grandes proyectos de irrigación de la costa, como Chavimochic III (La Libertad), Majes-Siguas II (Arequipa), Olmos (Lambayeque), entre otros.","-1","Unknown",0.0025,"-1","Unknown",0.0534,"114","ministro agricultura riego, ministra agricultura riego, ministerio agricultura riego, ministerio agricultura, ministro agricultura",0.0788
"Productos de agroexportación más competitivos","$200 millones para mejorar el Senasa Se ampliarán servicios en materia de inocuidad alimentaria. Redacción / Correo El Ministerio de Cultura y Riego (Minagri) trabaja con el Banco Interamericano de Desarrollo (BID) en la elaboración de un proyecto de $200 millones que se ejecutará en 2016 para el mejoramiento del Servicio Nacional de Sanidad Agraria (Senasa). Así lo adelantó el director general de Negocios Agrarios del Minagri, Marco Vinci, quien precisó que ese monto se destinará a la ampliación de los servicios en materia de inocuidad alimentaria, buenas prácticas agrícolas, laboratorios sanitarios, entre otros.","correo",2015-04-02,"Productos de agroexportación más competitivos. $200 millones para mejorar el Senasa Se ampliarán servicios en materia de inocuidad alimentaria. Redacción / Correo El Ministerio de Cultura y Riego (Minagri) trabaja con el Banco Interamericano de Desarrollo (BID) en la elaboración de un proyecto de $200 millones que se ejecutará en 2016 para el mejoramiento del Servicio Nacional de Sanidad Agraria (Senasa). Así lo adelantó el director general de Negocios Agrarios del Minagri, Marco Vinci, quien precisó que ese monto se destinará a la ampliación de los servicios en materia de inocuidad alimentaria, buenas prácticas agrícolas, laboratorios sanitarios, entre otros.","108","ministro agricultura riego, ministerio agricultura riego, agricultura riego minagri, agricultura riego, ministerio agricultura",0.068,"-1","Unknown",0.0495,"114","ministro agricultura riego, ministra agricultura riego, ministerio agricultura riego, ministerio agricultura, ministro agricultura",0.0864
"Junta General Ordinaria de Accionistas","Convoco a los señores accionistas de la Empresa Consorcio Madeireiro Del Peru Sa. a Junta General de Accionistas, a celebrarse el 20 de Julio de 2015 a partir de las 14:26 horas en primera convocatoria y el 21 de julio de 2015 a las 13:20 horas en segunda convocatoria, a realizarse en el domicilio social sita en la parcela, mz.a, lot.e 8, de Parque Industriel, Distrito de Viralindastra, conforme a la siguiente agenda:","correo",2015-06-04,"Junta General Ordinaria de Accionistas. Convoco a los señores accionistas de la Empresa Consorcio Madeireiro Del Peru Sa. a Junta General de Accionistas, a celebrarse el 20 de Julio de 2015 a partir de las 14:26 horas en primera convocatoria y el 21 de julio de 2015 a las 13:20 horas en segunda convocatoria, a realizarse en el domicilio social sita en la parcela, mz.a, lot.e 8, de Parque Industriel, Distrito de Viralindastra, conforme a la siguiente agenda:","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.2722,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.2971,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.4764
"Exhibición fusiona fotografía contemporánea","Colaboración entre galerías estadounidenses y limeñas resulta en exhibición innovadora combinando técnicas históricas y visiones creativas emergentes, ampliando horizontes visuales y temáticas relevantes en el ámbito artístico.","correo",2016-08-10,"Exhibición fusiona fotografía contemporánea. Colaboración entre galerías estadounidenses y limeñas resulta en exhibición innovadora combinando técnicas históricas y visiones creativas emergentes, ampliando horizontes visuales y temáticas relevantes en el ámbito artístico.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1455,"35","arte contemporaneo, exhibiciones, museo arte, exhibira, contemporanea",1,"23","exposicion titulada, artista peruano, exhibiciones, exposiciones, artistas",1
"Breves","Contiene varias notas cortas sobre diversos acontecimientos culturales y sociales relevantes, como el retorno de Melania Urbina a programas televisivos, iniciativas musicales y literarias, así como desarrollos noticiosos internacionales referentes a personalidades públicas y fenómenos mediáticos.","correo",2016-07-08,"Breves. Contiene varias notas cortas sobre diversos acontecimientos culturales y sociales relevantes, como el retorno de Melania Urbina a programas televisivos, iniciativas musicales y literarias, así como desarrollos noticiosos internacionales referentes a personalidades públicas y fenómenos mediáticos.","-1","Unknown",0.0332,"-1","Unknown",0.0197,"89","breves noticias diversas, breves noticias culturales, breves noticias locales, breves noticias mundiales, breves noticias destacadas",0.0321
"Importancia cultural de los pueblos nativos","El artículo destaca cómo diversas culturas e idiomas autóctonos conforman la identidad histórica del país. Existen medidas legales destinadas a preservar tradiciones ancestrales mediante reformas legislativas específicas.","correo",2016-08-09,"Importancia cultural de los pueblos nativos. El artículo destaca cómo diversas culturas e idiomas autóctonos conforman la identidad histórica del país. Existen medidas legales destinadas a preservar tradiciones ancestrales mediante reformas legislativas específicas.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.2436,"-1","Unknown",0.0901,"-1","Unknown",0.0164
