"headline";"subheadline";"author";"content";"newspaper";"date";"combined_text";"agreed_topic";"agreed_topic_prob";"agreed_topic_label"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0918";"Unknown"
"WENTAS CORPORATIVAS: Mazda presenta descuentos significativos en modelos selectos.";"";"";"";"correo";"2014/12/16";"WENTAS CORPORATIVAS: Mazda presenta descuentos significativos en modelos selectos.. .";"3";"1.0";"información, corporativas, distribución, mercado, descuentos"
"Evaluación post-electorales muestra resultados cercanos al 100%";"Resultados cerrados en áreas clave después de la segunda vuelta";"Julio Cabrejos";"Finalmente, la Oficina Nacional de Procesos Electorales (ONPE) brinda los resultados casi al 100% en algunas regiones donde se desarrolló la segunda vuelta electoral. Confirmándose el triunfo de varios candidatos controversiales como Waldo Ríos en Áncash, quién al cierre de esta edición, al 98.15% de actas contabilizadas, obtuvo el 65.43% de respaldo.";"correo";"2014/12/09";"Evaluación post-electorales muestra resultados cercanos al 100%. Resultados cerrados en áreas clave después de la segunda vuelta. Finalmente, la Oficina Nacional de Procesos Electorales (ONPE) brinda los resultados casi al 100% en algunas regiones donde se desarrolló la segunda vuelta electoral. Confirmándose el triunfo de varios candidatos controversiales como Waldo Ríos en Áncash, quién al cierre de esta edición, al 98.15% de actas contabilizadas, obtuvo el 65.43% de respaldo.";"-1";"0.2636";"Unknown"
"Cumpleaños del Cabecilla de Sendero Luminoso (SL), Abimael Guzmán.";"";"La Señora María";"Por eso, un grupo de SL lanzó, desde algún lugar del aire global donde destacó CENTODECIDÉS ‘Estamos frente al trabajo de un preso, el cual muestra que a pesar de estar en las peores condiciones, persiste en su afán de superarse’, explica la supuesta guía.";"correo";"2014/12/25";"Cumpleaños del Cabecilla de Sendero Luminoso (SL), Abimael Guzmán.. . Por eso, un grupo de SL lanzó, desde algún lugar del aire global donde destacó CENTODECIDÉS ‘Estamos frente al trabajo de un preso, el cual muestra que a pesar de estar en las peores condiciones, persiste en su afán de superarse’, explica la supuesta guía.";"0";"0.4751";"reunión, productos, investigación, lossio, economía"
"Real Madrid arranca en el Mundial de Clubes en Marruecos";"Champions League.";"SPORT";"Donde empezará mañana el campeonato. Real Madrid arribó ayer a Marruecos, antes de su participación en el Mundial de Clubes, en el que enfrentará al Cruz Azul. A pesar de que James Rodríguez y Sami Khedira están lesionados, el técnico Carlo Ancelotti decidió incluirlos en la delegación con la esperanza de que puedan recuperarse para el encuentro contra los aztecas. Rodríguez ha superado la lesión que tenía en el gemelo derecho, progresión que le ha permitido volver a realizar ejercicios físicos junto al resto del grupo.";"correo";"2014/12/15";"Real Madrid arranca en el Mundial de Clubes en Marruecos. Champions League.. Donde empezará mañana el campeonato. Real Madrid arribó ayer a Marruecos, antes de su participación en el Mundial de Clubes, en el que enfrentará al Cruz Azul. A pesar de que James Rodríguez y Sami Khedira están lesionados, el técnico Carlo Ancelotti decidió incluirlos en la delegación con la esperanza de que puedan recuperarse para el encuentro contra los aztecas. Rodríguez ha superado la lesión que tenía en el gemelo derecho, progresión que le ha permitido volver a realizar ejercicios físicos junto al resto del grupo.";"1";"0.8634";"equipo, es, lima, real, mejor"
"Fpf Le Ha Dado Un Ultimatium a Universidad";"Universitario podría no jugar el próximo año el Descentralizado";"";"Desde la Videna, donde Manuel Burga se juega sus descuentos en el sillón presidencial, enviaron un último término a Universitario para que el administrador temporal Fernando Bravo de Rueda y su gerente administrativo, Raúl Rosales, rinda cuentas a la Federación Peruana de Futbol de la situación concursal de la institución.";"correo";"2014/12/21";"Fpf Le Ha Dado Un Ultimatium a Universidad. Universitario podría no jugar el próximo año el Descentralizado. Desde la Videna, donde Manuel Burga se juega sus descuentos en el sillón presidencial, enviaron un último término a Universitario para que el administrador temporal Fernando Bravo de Rueda y su gerente administrativo, Raúl Rosales, rinda cuentas a la Federación Peruana de Futbol de la situación concursal de la institución.";"1";"0.7335";"equipo, es, lima, real, mejor"
"Banco Mundial advierte riesgos económicos globales";"Informe señala amenaza de crisis mundial";"Carlos García";"Según reportó el Banco Mundial, hay signos alarmantes que anticipan potenciales problemas financieros internacionales. Las economías emergentes enfrentan retos específicos que pueden intensificar estos riesgos.";"correo";"2014/12/15";"Banco Mundial advierte riesgos económicos globales. Informe señala amenaza de crisis mundial. Según reportó el Banco Mundial, hay signos alarmantes que anticipan potenciales problemas financieros internacionales. Las economías emergentes enfrentan retos específicos que pueden intensificar estos riesgos.";"-1";"0.2411";"Unknown"
"";"";"Juan Aquino Reyna,""Finalmente, dijo: «Está mal que algunos medios por ganar la nota o primicia pongan cosas que no son, a mi hijo ya lo daban por ‘muerto’. ¿Acaso no tienen criterio?, Mi familia se ha sentido mal por todo lo que se dijo». """;"";"correo";"2014/12/10";". .";"-1";"0.0919";"Unknown"
"Tema del Día";"";"DiarioCorreo";"Enlace entre ministros y fiscales genera controversia. Reunión secreta reveló detalles comprometedores.";"correo";"2014/12/04";"Tema del Día. . Enlace entre ministros y fiscales genera controversia. Reunión secreta reveló detalles comprometedores.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Manuel Neuer Promesa. Arquero del Bayern Munich, Manolo Neuer, Asegura Que Nunca Piensa Abandonar la Selección Alemana Mientras Sea el Primer Portero en el Puesto. Además, Manifestó Orgulloso de Estar Nombrado Candidato al Balón de Oro. Acerca del Trofeo al Mejor Jugador, Neuer Indicó: ‘Es un Honor para mí Estar Dentro de los Finalistas al Balón de Oro. Solamente con la Candidatura Soy Honrado’. Evolución Musical Correspondiente. No Seas Prejuicioso. Pensar en Tiempo Anticipado.,";"";"";"";"correo";"2014/12/25";"Manuel Neuer Promesa. Arquero del Bayern Munich, Manolo Neuer, Asegura Que Nunca Piensa Abandonar la Selección Alemana Mientras Sea el Primer Portero en el Puesto. Además, Manifestó Orgulloso de Estar Nombrado Candidato al Balón de Oro. Acerca del Trofeo al Mejor Jugador, Neuer Indicó: ‘Es un Honor para mí Estar Dentro de los Finalistas al Balón de Oro. Solamente con la Candidatura Soy Honrado’. Evolución Musical Correspondiente. No Seas Prejuicioso. Pensar en Tiempo Anticipado.,. .";"1";"1.0";"equipo, es, lima, real, mejor"
"Bianca Botto mejora posición en rankings internacionales de tenis";"Logró ubicarse en el puesto número 213 globalmente.";"'Fueron días difíciles', ""Con gran dedicación y perseverancia, la tenista nacional Bianca Botto ha ascendido hasta ocupar el puesto 213 en el ranking internacional de tenis femenino, asegurándole así la oportunidad de competir en la fase previa del próximo Abierto de Australia.""";"";"correo";"2014/12/16";"Bianca Botto mejora posición en rankings internacionales de tenis. Logró ubicarse en el puesto número 213 globalmente..";"-1";"0.3655";"Unknown"
"AUSENCIA. El gerente general de la Asociación Deportiva de Fútbol Profesional, Enrique de La Rosa, fue el único dirigente de esta institución que se encargó de buscar una solución en Lima y Trujillo. El titular de la ADFP, Julio Pastor, estaba en Asunción para asistir al sorteo de la Copa Libertadores 2015, lo mismo sucedía con el mandamás de la FPF, Manuel Burga, quien también se encontraba en Paraguay como integrante de la copila de la Confederación Sudamericana de Fútbol. Enrique de La Rosa trató de negociar con Gentille para que el cotejo se jugase de todas formas en Trujillo. Incluso le solicitó mover 200 efectivos de Chiclayo a Trujillo y otro número similar desde Cajamarca, pero el alto mando jallano no accedió al requerimiento del dirigente. Al parecer, la orden de no autorizar la realización del encuentro venía desde el despacho del ministro del Interior, Daniel Urresti, quien ha preferido abocarse a la COP20 en Lima y a los Bolivarianos en Trujillo antes que preocuparse en dar resguardo a los partidos del fútbol local.";"";"";"";"correo";"2014/12/03";"AUSENCIA. El gerente general de la Asociación Deportiva de Fútbol Profesional, Enrique de La Rosa, fue el único dirigente de esta institución que se encargó de buscar una solución en Lima y Trujillo. El titular de la ADFP, Julio Pastor, estaba en Asunción para asistir al sorteo de la Copa Libertadores 2015, lo mismo sucedía con el mandamás de la FPF, Manuel Burga, quien también se encontraba en Paraguay como integrante de la copila de la Confederación Sudamericana de Fútbol. Enrique de La Rosa trató de negociar con Gentille para que el cotejo se jugase de todas formas en Trujillo. Incluso le solicitó mover 200 efectivos de Chiclayo a Trujillo y otro número similar desde Cajamarca, pero el alto mando jallano no accedió al requerimiento del dirigente. Al parecer, la orden de no autorizar la realización del encuentro venía desde el despacho del ministro del Interior, Daniel Urresti, quien ha preferido abocarse a la COP20 en Lima y a los Bolivarianos en Trujillo antes que preocuparse en dar resguardo a los partidos del fútbol local.. .";"1";"0.7242";"equipo, es, lima, real, mejor"
"Días de cárcel";"";"Remulo León";"León relató experiencias difíciles durante su estadía en prisión, mencionando cómo algunos compañeros mantenían ánimos mediante actividades culturales.";"correo";"2014/12/25";"Días de cárcel. . León relató experiencias difíciles durante su estadía en prisión, mencionando cómo algunos compañeros mantenían ánimos mediante actividades culturales.";"-1";"0.1735";"Unknown"
"Una universitaria decide mudarse sola después años conviviendo bajo la tutela restrictiva de sus padres. Pronto experimentará eventos inexplicables similares a aquellos reportados por residentes previos.";"";"";"Dirige: Rainer Matsushita. Actúan: Jennifer Ulrich, Julia Dietze, André Hammann. Género: Horror.";"correo";"2014/12/04";"Una universitaria decide mudarse sola después años conviviendo bajo la tutela restrictiva de sus padres. Pronto experimentará eventos inexplicables similares a aquellos reportados por residentes previos.. . Dirige: Rainer Matsushita. Actúan: Jennifer Ulrich, Julia Dietze, André Hammann. Género: Horror.";"-1";"0.2277";"Unknown"
"'Yunta', un innovador programa dirigido a niños en situación de vulnerabilidad, trabaja para fortalecer habilidades socio-emocionales mediante mentorización profesional.";"";"";"";"correo";"2014/12/16";"'Yunta', un innovador programa dirigido a niños en situación de vulnerabilidad, trabaja para fortalecer habilidades socio-emocionales mediante mentorización profesional.. .";"-1";"0.367";"Unknown"
"Primera Dama deberá testificar ante la CNJ según exprocuradores";"Opinión de Christian Salas y Yeni Vilcatoma";"DiarioCorreo";"Christian Salas y Yeni Vilcatoma coinciden en que la primera dama, Nadine Heredia, debe comparecer ante la comisión del Congreso que indaga sobre Martín Belaunde Lossio. Ambos destacan la necesidad de su declaración dado el vínculo familiar de Heredia con el prófugo empresario.";"correo";"2014/12/15";"Primera Dama deberá testificar ante la CNJ según exprocuradores. Opinión de Christian Salas y Yeni Vilcatoma. Christian Salas y Yeni Vilcatoma coinciden en que la primera dama, Nadine Heredia, debe comparecer ante la comisión del Congreso que indaga sobre Martín Belaunde Lossio. Ambos destacan la necesidad de su declaración dado el vínculo familiar de Heredia con el prófugo empresario.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Manchester United golea 3-0 a Liverpool de Balotelli";"Inglatera.";"";"Anótaron Goles de Rooney, Máta y Van Persie. Manchester United sigue en la pelea por acercarse a la punta de la Liga Premier. Ayer superó 3-0 a Liverpool, en el que Mario Balotelli volvió a decepcionar. Wayne Rooney (12'), Juan Mata (40') y Robin van Persie (71') anotaron para el Manchester. El ecuatoriano Antonio Valencia fue una de las figuras del cuadro ganador. Así, el equipo dirigido por Louis van Gaal logra su sexta victoria consecutiva y suma 31 puntos, para ubicarse a 8 del líder Chelsea, que ayer derrotó 2-0 al Hull City. Por otro lado, Liverpool ocupa el noveno lugar de la tabla con 21 unidades.";"correo";"2014/12/15";"Manchester United golea 3-0 a Liverpool de Balotelli. Inglatera.. Anótaron Goles de Rooney, Máta y Van Persie. Manchester United sigue en la pelea por acercarse a la punta de la Liga Premier. Ayer superó 3-0 a Liverpool, en el que Mario Balotelli volvió a decepcionar. Wayne Rooney (12'), Juan Mata (40') y Robin van Persie (71') anotaron para el Manchester. El ecuatoriano Antonio Valencia fue una de las figuras del cuadro ganador. Así, el equipo dirigido por Louis van Gaal logra su sexta victoria consecutiva y suma 31 puntos, para ubicarse a 8 del líder Chelsea, que ayer derrotó 2-0 al Hull City. Por otro lado, Liverpool ocupa el noveno lugar de la tabla con 21 unidades.";"1";"1.0";"equipo, es, lima, real, mejor"
"Susan Cubá Definió su Renovación";"Costa y Magúez siguen en Alianza por todo el 2015";"";"Tras una semana de incertidumbre, Susan Cubá, administradora permanente de Alianza Lima, confirmó la renovación de contratos de los uruguayos Gabriel Costa y Pablo Magúez, quienes seguirán en el cuadro blanquiazul por todo el 2015.";"correo";"2014/12/21";"Susan Cubá Definió su Renovación. Costa y Magúez siguen en Alianza por todo el 2015. Tras una semana de incertidumbre, Susan Cubá, administradora permanente de Alianza Lima, confirmó la renovación de contratos de los uruguayos Gabriel Costa y Pablo Magúez, quienes seguirán en el cuadro blanquiazul por todo el 2015.";"1";"0.65";"equipo, es, lima, real, mejor"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0915";"Unknown"
"Sincericidio";"";"Abogado Juan Fitx Camino Alfaro";"Katiuska del Castillo está decepcionada después de enterarse de la decisión judicial adversa y contempla opciones legales futuras según indica su abogado.";"correo";"2014/12/25";"Sincericidio. . Katiuska del Castillo está decepcionada después de enterarse de la decisión judicial adversa y contempla opciones legales futuras según indica su abogado.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Autorización de Portabilidad Numérica Vigente";"";"";"Por otra parte, también precisó que Claro perdió 56,092 líneas, mientras que Movistar registró 53,095. La portabilidad numérica móvil está vigente desde el 16 de julio y lleva registradas 121,137 líneas.";"correo";"2014/12/09";"Autorización de Portabilidad Numérica Vigente. . Por otra parte, también precisó que Claro perdió 56,092 líneas, mientras que Movistar registró 53,095. La portabilidad numérica móvil está vigente desde el 16 de julio y lleva registradas 121,137 líneas.";"-1";"0.3489";"Unknown"
"";"";"John Contreras, Padre de Joao Contreras,""Por su parte, John Contreras, padre del mencionado jugador, habló con Co Loayza es auxiliado por sus colegas. En el partido de ida Fuerza Minera hubiese ganado 6-3 y ahora los minutos restantes tendrán que reprogramarse, Reyero y afirmó que gracias a Dios su hijo estaba fuera de peligro, pero que habían pasado un gran susto. “Llamé primero a la presidenta del equipo, ella me dijo que los doctores no salían y que no les podía dar información. Luego ví en los medios de comunicación que daban por muerto a mi hijo, pensé lo peor, estaba destrozado”, enfatizó el padre muy traumatizado por todo lo sucedido. Momentos después expresó que se sentí alegre cuando habló con su hijo Joao. «Hablé con él, está un poco nervioso por todo lo que paso. Me dijo que estaba tranquilo, que le quemaban las piernas por el impacto. Hoy (ayer) estoy viajando para allá para estar a su lado», lamentó el progenitor.”";"";"correo";"2014/12/10";". .";"-1";"0.0912";"Unknown"
"Un terapeuta, casado con una mujer sobre protectora, con un hijo en rehabilitación y una hija saliendo del psiquiátrico, trata pacientes mientras enfrenta sus propios demonios personales.";"";"";"Dirigen: David Cronenberg. Actúan: Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, etc. Género: Drama.";"correo";"2014/12/04";"Un terapeuta, casado con una mujer sobre protectora, con un hijo en rehabilitación y una hija saliendo del psiquiátrico, trata pacientes mientras enfrenta sus propios demonios personales.. . Dirigen: David Cronenberg. Actúan: Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, etc. Género: Drama.";"-1";"0.2325";"Unknown"
"Lionel Messi aún considerado el mejor futbolista según análisis reciente";"Análisis comparativo entre Barcelona y Borussia Dortmund";"George Forsyth niega conflictos con Leao Butrán";"Se discute ampliamente quién podría seguir ostentando el título del mejor futbolista actualmente, mientras tanto, el portero George Forsyth aclara cualquier rumor existente respecto a supuestas tensiones con el flamante incorporación de Alianza, Leão Butran.";"correo";"2014/12/16";"Lionel Messi aún considerado el mejor futbolista según análisis reciente. Análisis comparativo entre Barcelona y Borussia Dortmund. Se discute ampliamente quién podría seguir ostentando el título del mejor futbolista actualmente, mientras tanto, el portero George Forsyth aclara cualquier rumor existente respecto a supuestas tensiones con el flamante incorporación de Alianza, Leão Butran.";"1";"1.0";"equipo, es, lima, real, mejor"
"Haber Localizados los Orígenes de los Maldini en Italia";"";"";"Para esto se necesita mucho capital. Queremos localizar los orígenes de los Maldini en Italia, Ítalo en Roma, y comparar con los orígenes de la otra milla (los González) en Ayacucho.";"correo";"2014/12/21";"Haber Localizados los Orígenes de los Maldini en Italia. . Para esto se necesita mucho capital. Queremos localizar los orígenes de los Maldini en Italia, Ítalo en Roma, y comparar con los orígenes de la otra milla (los González) en Ayacucho.";"1";"0.8509";"equipo, es, lima, real, mejor"
"Programa Social Promoviendo Capacidades Sociales y Productividad";"";"Andrea Alba Directora Ejecutiva Yunta";"";"correo";"2014/12/16";"Programa Social Promoviendo Capacidades Sociales y Productividad. .";"3";"1.0";"información, corporativas, distribución, mercado, descuentos"
"Gobierno central versus control legislativo";"";"DiarioCorreo.pe";"Los detalles específicos de cómo estas asignaciones afectaron la percepción pública respecto al manejo económico del Congreso están documentados en el sitio electrónico del Congreso, destacándose preocupaciones sobre el crecimiento indebido de la burocracia y el impacto en la imagen del órgano legislativo.";"correo";"2014/12/28";"Gobierno central versus control legislativo. . Los detalles específicos de cómo estas asignaciones afectaron la percepción pública respecto al manejo económico del Congreso están documentados en el sitio electrónico del Congreso, destacándose preocupaciones sobre el crecimiento indebido de la burocracia y el impacto en la imagen del órgano legislativo.";"0";"0.6911";"reunión, productos, investigación, lossio, economía"
"Banca por celular será masiva próximamente";"";"Carlos Díaz";"El año 2015 será el punto de partida para la expansión de las operaciones por celular del Banco de la Nación (BN). lo que permitirá ampliar el alcance de la institución a zonas rurales ubicadas en provincias, señaló su presidente, Carlos Díaz.";"correo";"2014/12/09";"Banca por celular será masiva próximamente. . El año 2015 será el punto de partida para la expansión de las operaciones por celular del Banco de la Nación (BN). lo que permitirá ampliar el alcance de la institución a zonas rurales ubicadas en provincias, señaló su presidente, Carlos Díaz.";"-1";"0.3237";"Unknown"
"Tensa espera, al caer la noche recibieron la visita de sus compañeros de equipo, de dirigentes y amigos.";"";"Na";"En Lima, la familia de Joao Contreras sufrió un río y un drama, pues los medios de prensa pusieron en su cuenta oficial de Twitter que el jugador de Sport Huánuco había fallecido, incluso en su cuenta oficial de Facebook el cuadro huachano contaba con ‘la muerte’ de Contreras, pero luego el club desmintió tal información.";"correo";"2014/12/10";"Tensa espera, al caer la noche recibieron la visita de sus compañeros de equipo, de dirigentes y amigos.. . En Lima, la familia de Joao Contreras sufrió un río y un drama, pues los medios de prensa pusieron en su cuenta oficial de Twitter que el jugador de Sport Huánuco había fallecido, incluso en su cuenta oficial de Facebook el cuadro huachano contaba con ‘la muerte’ de Contreras, pero luego el club desmintió tal información.";"1";"0.7119";"equipo, es, lima, real, mejor"
"Noche sin Paz";"";"DiarioCorreo";"Exponentes políticos destacados como Gregorio Santos, Klever Meléndez y César Álvarez experimentaron restricciones severas incluso durante festivas ocasiones mientras están bajo custodia judicial.";"correo";"2014/12/25";"Noche sin Paz. . Exponentes políticos destacados como Gregorio Santos, Klever Meléndez y César Álvarez experimentaron restricciones severas incluso durante festivas ocasiones mientras están bajo custodia judicial.";"-1";"0.1899";"Unknown"
"Gestión Eficiente de Residuos Clave para Salud Pública";"Inversiones Proyectadas Mejoran Situación Actual";"Movimiento para el Desarrollo Regional";"Una propuesta futura podría implicar inversiones considerables hacia sistemas modernos de gestión de residuos, crucial para mantener estándares mínimos de salubridad pública.";"correo";"2014/12/15";"Gestión Eficiente de Residuos Clave para Salud Pública. Inversiones Proyectadas Mejoran Situación Actual. Una propuesta futura podría implicar inversiones considerables hacia sistemas modernos de gestión de residuos, crucial para mantener estándares mínimos de salubridad pública.";"-1";"0.2523";"Unknown"
"Eugenia, el esposo de Laura, desaparece, y ella inicia su búsqueda junto a Santiago, amigo y socio de Eugenio. Sin embargo, se dan cuenta de que quizás no deberían buscarlo.";"";"";"Dirige: Daniel Burman. Actúan: Guillermo Francella, Inés Estévez, etc. Género: Comedia.";"correo";"2014/12/04";"Eugenia, el esposo de Laura, desaparece, y ella inicia su búsqueda junto a Santiago, amigo y socio de Eugenio. Sin embargo, se dan cuenta de que quizás no deberían buscarlo.. . Dirige: Daniel Burman. Actúan: Guillermo Francella, Inés Estévez, etc. Género: Comedia.";"-1";"0.1967";"Unknown"
"Fernando Torres Podrá Retornar al Atlético Retorno. Atlético de Madrid Negociando Llegada del Joven Atacante Español Fernando Torres. El Fichaje del Jugador Podría Darse si Torres Acepta las Económicas del Club Colocho. Posterior a Siete Años y Medio de Suspenso de su Salida del Atlético, el Atacante Fernando Torres Podría Volverse a Sentar en el Campo del Estadio Vicente Calderón.,";"";"";"";"correo";"2014/12/25";"Fernando Torres Podrá Retornar al Atlético Retorno. Atlético de Madrid Negociando Llegada del Joven Atacante Español Fernando Torres. El Fichaje del Jugador Podría Darse si Torres Acepta las Económicas del Club Colocho. Posterior a Siete Años y Medio de Suspenso de su Salida del Atlético, el Atacante Fernando Torres Podría Volverse a Sentar en el Campo del Estadio Vicente Calderón.,. .";"1";"0.9515";"equipo, es, lima, real, mejor"
"Cristal preparándose intensamente antes del encuentro frente a Juan Aurich";"Roberto Mosquera expresa preocupación por el rendimiento del equipo";"'Por'; 'José del Solar', Director Deportivo";"Tras el empate agónico conseguido por Juan Aurich contra Cristal, el técnico Roberto Mosquera manifiesta su inconformidad con el resultado debido a la forma irregular en cómo se disputó ese crucial duelo. Además, señala la necesidad urgente de cambio de actitud dentro del conjunto blanquinegro.";"correo";"2014/12/16";"Cristal preparándose intensamente antes del encuentro frente a Juan Aurich. Roberto Mosquera expresa preocupación por el rendimiento del equipo. Tras el empate agónico conseguido por Juan Aurich contra Cristal, el técnico Roberto Mosquera manifiesta su inconformidad con el resultado debido a la forma irregular en cómo se disputó ese crucial duelo. Además, señala la necesidad urgente de cambio de actitud dentro del conjunto blanquinegro.";"1";"1.0";"equipo, es, lima, real, mejor"
